date,open,high,low,close
2017-04-30-22:00,5580.3,5639.4,5579.9,5634
2017-05-01-21:00,5629.4,5643.8,5624,5624.2
2017-05-02-21:00,5617.7,5633.3,5608,5610.2
2017-05-03-21:00,5608.2,5636.3,5604.4,5629.1
2017-05-04-21:00,5626.5,5651.6,5614,5650.5
2017-05-07-22:00,5656.1,5658,5634.1,5654.7
2017-05-08-21:00,5652.2,5687.2,5648.3,5681
2017-05-09-21:00,5672,5680.1,5658.9,5675.5
2017-05-10-21:00,5669.2,5672.5,5634.8,5668.9
2017-05-11-21:00,5659.6,5687.6,5655.1,5687.4
2017-05-14-22:00,5697.2,5704.6,5681.2,5703.6
2017-05-15-21:00,5698.9,5723.8,5697.3,5721.2
2017-05-16-21:00,5692.8,5705.3,5571.5,5572.5
2017-05-17-21:00,5598,5645.6,5548.4,5630.7
2017-05-18-21:00,5629.1,5674.4,5625.2,5652.5
2017-05-21-22:00,5661.6,5702.4,5647.4,5701.7
2017-05-22-21:00,5693.6,5716.6,5690.3,5709
2017-05-23-21:00,5709.8,5732.6,5705.4,5732.1
2017-05-24-21:00,5754.7,5793.8,5739.5,5781.4
2017-05-25-21:00,5781.4,5793.6,5770.7,5793.1
2017-05-28-22:00,5796.6,5799.9,5790.2,5793.9
2017-05-29-21:00,5786.3,5800.4,5776.3,5791.6
2017-05-30-21:00,5797.7,5817.2,5761.6,5802.5
2017-05-31-21:00,5802.6,5822.9,5779.5,5821.5
2017-06-01-21:00,5839.8,5886.3,5825.7,5884.8
2017-06-04-22:00,5881.6,5890.9,5872.4,5881.2
2017-06-05-21:00,5874.4,5893.8,5849.6,5862.4
2017-06-06-21:00,5865.9,5886.3,5847.3,5880.8
2017-06-07-21:00,5887.5,5900,5856.2,5894.2
2017-06-08-21:00,5888.5,5903.3,5664.4,5740.9
2017-06-11-22:00,5718.7,5721.2,5639.5,5718.5
2017-06-12-21:00,5731.5,5765,5712.8,5758.3
2017-06-13-21:00,5750.9,5784.7,5683.9,5726.1
2017-06-14-21:00,5699.3,5711.5,5638,5705.7
2017-06-15-21:00,5718.8,5723.3,5657.8,5688
2017-06-18-22:00,5710.8,5779.3,5710.5,5766.5
2017-06-19-21:00,5772.9,5780.6,5723.7,5728.6
2017-06-20-21:00,5720.2,5793.7,5695.9,5792.2
2017-06-21-21:00,5806.9,5806.9,5767.9,5782.3
2017-06-22-21:00,5790.5,5812.5,5760.5,5802.9
2017-06-25-22:00,5821,5850.2,5766.6,5776.7
2017-06-26-21:00,5766.6,5768.6,5667.7,5671.9
2017-06-27-21:00,5669.9,5767.3,5630.7,5765.8
2017-06-28-21:00,5765.5,5770.5,5599.9,5649
2017-06-29-21:00,5645.2,5685.3,5626.2,5654.1
2017-07-02-22:00,5668.7,5689.5,5592.1,5597.7
2017-07-03-21:00,5572.8,5618,5560.3,5575
2017-07-04-21:00,5573.8,5665.6,5567.6,5649.4
2017-07-05-21:00,5646.3,5648.5,5578.8,5595.9
2017-07-06-21:00,5606.4,5675.6,5590.7,5654.7
2017-07-09-22:00,5677.1,5711,5649.7,5693.5
2017-07-10-21:00,5698.5,5722.3,5666.9,5719.3
2017-07-11-21:00,5716.6,5789.1,5715.6,5786.4
2017-07-12-21:00,5796.6,5811.9,5777.4,5798.1
2017-07-13-21:00,5793.6,5847.9,5788.1,5847.1
2017-07-16-22:00,5849.1,5863.9,5831.6,5859.1
2017-07-17-21:00,5853.3,5899.3,5820.7,5896.7
2017-07-18-21:00,5900,5925.5,5893,5920.3
2017-07-19-21:00,5920.2,5939,5897.8,5931.3
2017-07-20-21:00,5917.1,5929.6,5891.7,5923.4
2017-07-23-22:00,5910.7,5955.8,5907,5926.7
2017-07-24-21:00,5926.1,5948.3,5917.8,5934.8
2017-07-25-21:00,5930.5,5959.8,5929.2,5954.5
2017-07-26-21:00,5983.1,5997.8,5846.3,5917.5
2017-07-27-21:00,5868.9,5919.9,5852.6,5910.3
2017-07-30-22:00,5911.5,5935.2,5872.9,5884.2
2017-07-31-21:00,5908.7,5918.2,5881.3,5897.6
2017-08-01-21:00,5945.5,5945.8,5860,5915.6
2017-08-02-21:00,5911.5,5927,5880.6,5892.4
2017-08-03-21:00,5894.1,5915.1,5877.2,5900.9
2017-08-06-22:00,5921.4,5939.7,5902.7,5936.7
2017-08-07-21:00,5935.7,5976.1,5911.1,5928
2017-08-08-21:00,5907.2,5922.3,5865.1,5920.8
2017-08-09-21:00,5911.3,5911.5,5784.3,5789.8
2017-08-10-21:00,5782.7,5846.7,5761.7,5833.7
2017-08-13-22:00,5868.9,5918.3,5866.5,5909.3
2017-08-14-21:00,5926.7,5930.3,5894.1,5910.1
2017-08-15-21:00,5916.7,5948.5,5900.6,5919.9
2017-08-16-21:00,5912.4,5922.6,5798.9,5799.6
2017-08-17-21:00,5804.4,5833.9,5771.5,5793.4
2017-08-20-22:00,5789.9,5807,5751.8,5789
2017-08-21-21:00,5823.6,5881.3,5804.6,5875.1
2017-08-22-21:00,5869.1,5876.3,5840.8,5854.1
2017-08-23-21:00,5853.9,5874,5803.1,5836.8
2017-08-24-21:00,5845.5,5874.3,5817.2,5824.2
2017-08-27-22:00,5807.2,5856,5801.2,5841
2017-08-28-21:00,5808.8,5875,5777,5865.1
2017-08-29-21:00,5895.8,5943.4,5862.2,5933.9
2017-08-30-21:00,5942.5,5996.5,5937.7,5989.2
2017-08-31-21:00,5999,6020,5973.7,5987
2017-09-03-22:00,5956.7,5983.7,5955.2,5983.5
2017-09-04-21:00,5977.7,5986.2,5891.2,5935.6
2017-09-05-21:00,5946.9,5967.6,5911.2,5953.8
2017-09-06-21:00,5949,5983.5,5944,5967.8
2017-09-07-21:00,5956.5,5966.5,5910.3,5916.5
2017-09-10-22:00,5952,5995.5,5950.5,5982.8
2017-09-11-21:00,5988,6007.3,5970.5,5998.5
2017-09-12-21:00,6002.5,6007,5979,6005.5
2017-09-13-21:00,6003.4,6004,5965.1,5969.4
2017-09-14-21:00,5954.5,6012.3,5948,5988.4
2017-09-17-22:00,5993.3,6015.1,5964.3,5982.3
2017-09-18-21:00,5986.8,6001.8,5972.1,5992.3
2017-09-19-21:00,5987.3,5997.9,5928.2,5975.2
2017-09-20-21:00,5973.7,5977.7,5916.9,5937.7
2017-09-21-21:00,5939.9,5942.9,5908.9,5933.4
2017-09-24-22:00,5931.1,5952.3,5840.5,5869.5
2017-09-25-21:00,5877,5911,5860.8,5886.2
2017-09-26-21:00,5890.7,5961.5,5884.9,5939.8
2017-09-27-21:00,5931.6,5946.9,5909.9,5935.2
2017-09-28-21:00,5935.4,5983.5,5932,5979.7
2017-10-01-22:00,5983.2,6008.6,5957.3,5983.1
2017-10-02-21:00,5981.4,6003.2,5977.2,5996.5
2017-10-03-21:00,5993.6,6013.3,5977.6,6000.8
2017-10-04-21:00,6001.8,6062.7,5998.8,6059.2
2017-10-05-21:00,6058.9,6069.4,6035.7,6065.4
2017-10-08-22:00,6065.9,6082.2,6053.3,6060.6
2017-10-09-21:00,6061.3,6087,6037.8,6066.1
2017-10-10-21:00,6063.3,6085.7,6052.9,6083.9
2017-10-11-21:00,6081.9,6096.6,6066.1,6073.1
2017-10-12-21:00,6071.8,6104,6068.6,6096.3
2017-10-15-22:00,6106,6119.5,6099,6117.8
2017-10-16-21:00,6119,6126.8,6106.5,6125
2017-10-17-21:00,6122.9,6134.1,6109.5,6118.5
2017-10-18-21:00,6120.7,6123.2,6052.7,6095.3
2017-10-19-21:00,6096,6131.3,6092.3,6110.2
2017-10-22-22:00,6120,6126.8,6063.3,6071.6
2017-10-23-21:00,6068.3,6094.8,6059.3,6082.8
2017-10-24-21:00,6075.3,6090,6013.4,6058
2017-10-25-21:00,6066,6079,6038,6041.7
