time,open,high,low,close,date
309042000,383,394.5,381,393.5,309042000
309128400,396,405,396,400,
309387600,402,403,393,396.8,
309474000,392,394.8,387.5,392.5,
309560400,396,405.5,396,402.5,
309646800,394.7,394.7,394.7,394.7,
309733200,382,382.8,375,377.7,
309996000,377,381,375.5,379.5,
310082400,380,387.3,380,383.5,
310168800,385,388.5,384.5,385.7,
310255200,381.5,389,365,372,
310341600,375,379,373,378.5,
310600800,384,387.3,382.7,383.3,
310687200,388.5,399,388,397.5,
310773600,401.5,403.5,392.5,396,
310860000,395,395.8,389.5,394,
310946400,394.5,399.5,391.2,391.2,
311205600,396,399.5,394.5,397,
311292000,392,392,385,387,
311378400,394,395,391.5,392.4,
311464800,389,389,385.7,388.3,
311551200,392.5,394.3,390.3,391.2,
311810400,393,394,388.5,388.7,
311896800,390,397.5,388.3,393.5,
311983200,400,400,392.5,394.2,
312156000,392.2,395.4,392.2,394.6,
312415200,396.5,397.5,390,390.8,
312501600,395,398.5,393.8,398.2,
312588000,407,413.5,406,411,
312674400,422,426,419,419.5,
312760800,426,432.8,425.8,430.5,
313020000,440,444.5,439,443.7,
313106400,441,443.3,436,438.5,
313192800,435.5,444.5,435,444,
313279200,446,447.8,436,436.7,
313365600,438.8,443,433,436,
313624800,440.5,447,439,446,
313711200,457,461,453.8,460,
313797600,459,463.2,455.7,459.3,
313884000,467,474.5,466.5,472,
313970400,470,478,464.5,474.5,
314229600,480.5,483.3,478,479,
314316000,488,492.5,485.5,492,
314402400,500,500.3,467,480,
314488800,485,485.5,475,481,
314575200,479.5,495.5,469,495.5,
315007200,496,515,495.8,514.3,
315093600,522,530,517,523.5,
315180000,525,527.5,512,525,
315439200,535,543,533,541,
315612000,566,566,566,566,
315698400,591,591,591,591,
315784800,589,626.5,574,611,
316044000,627,636,618,634,
316130400,618,623,609,609,
316216800,607,619,604,605,
316303200,608,610,597,603,
316389600,620,628,620,628,
316648800,653,653,653,653,
316735200,690.5,690.5,680,690.5,
316821600,740.5,740.5,740.5,740.5,
316908000,722,790.5,720,790.5,
316994400,815,840.5,815,823,
317253600,873,873,815,834,
317340000,784,784,784,784,
317426400,734,740,734,734,
317512800,710,723,684,684,
317599200,688,697,634,635,
317858400,635,645,607,639,
317944800,700,704,664,702,
318031200,702,726,680,681,
318117600,681,708,658,704,
318204000,700,715,688,704,
318463200,691,695,673,677,
318549600,683,702,683,702,
318636000,727,727,727,727,
318722400,720,728,708,710,
318808800,717,722,708.5,717.5,
319068000,742.5,742.5,725,726,
319154400,723,727,715,718.5,
319240800,717,721,699,709,
319327200,706,709,684,690.5,
319413600,691,693.5,673,680.5,
319759200,678,678,655.5,655.5,
319845600,630.5,675,630.5,673,
319932000,669,683,655,666.5,
320018400,651,656,641.5,641.5,
320277600,635,666.5,617,659,
320364000,654,656,634,635.5,
320450400,640,657,634,639,
320536800,659,660,645,650.5,
320623200,645,655,637,640,
320882400,643,647,625.5,641,
320968800,638,654.5,636,651.5,
321055200,655,660,640,643,
321141600,633,636,618,618,
321228000,607,621,599,605,
321487200,599,600,567.5,567.5,
321573600,560,575,557,570.5,
321660000,583,591,576,581.5,
321746400,555,559.5,544,544,
321832800,523,543,516,530,
322092000,485,495,480,480,
322178400,472,494,463,488.5,
322264800,530,538.5,513,538.5,
322351200,556,565,536,538.5,
322437600,528,569,520.2,565,
