N_CONSEC,lengthSMMA,length1,SL_PCT,MTPS,trades,win_rate,avg_r,
5,3,12,0.0009,4,1090,0.4239,0.2720,296.4651713
5,4,13,0.0009,3,1136,0.4208,0.2603,295.708922
5,3,12,0.0008,3,1092,0.4167,0.2493,272.1969548
5,3,11,0.001,3,1115,0.4161,0.2487,277.3186542
4,3,11,0.0008,2,1213,0.4155,0.2460,298.3643624
4,3,11,0.0008,3,1305,0.4153,0.2455,320.3643624
4,3,11,0.0008,3,1305,0.4153,0.2455,320.3643624
4,2,12,0.0008,2,1097,0.4139,0.2421,265.6165606
4,2,12,0.0008,2,1097,0.4139,0.2421,265.6165606
5,3,10,0.0009,2,1117,0.4136,0.2412,269.4651713
4,2,11,0.0008,2,1125,0.4133,0.2405,270.6054787
5,3,10,0.0009,4,1167,0.4130,0.2395,279.4651713
5,4,13,0.0008,2,1096,0.4133,0.2376,260.3982525
5,4,13,0.0008,4,1138,0.4130,0.2367,269.3982525
5,4,13,0.0008,4,1138,0.4130,0.2367,269.3982525
5,3,12,0.0011,2,1045,0.4105,0.2318,242.2196987
4,2,11,0.001,4,1173,0.4109,0.2315,271.5961811
4,3,11,0.001,4,1292,0.4102,0.2310,298.4359009
4,3,11,0.001,4,1292,0.4102,0.2310,298.4359009
4,3,11,0.001,3,1289,0.4096,0.2292,295.4359009
4,3,11,0.001,3,1289,0.4096,0.2292,295.4359009
5,4,11,0.0008,4,1224,0.4101,0.2283,279.3967031
4,2,10,0.0008,4,1239,0.4092,0.2281,282.6054787
6,3,9,0.0008,4,1028,0.4095,0.2252,231.536906
4,2,13,0.0009,4,1100,0.4091,0.2252,247.6966458
4,3,12,0.0011,4,1262,0.4081,0.2244,283.2547416
4,3,11,0.001,2,1204,0.4078,0.2238,269.4359009
4,2,10,0.0011,4,1221,0.4079,0.2229,272.1445819
4,2,13,0.0008,2,1068,0.4082,0.2226,237.7837265
4,3,12,0.0011,3,1259,0.4075,0.2226,280.2547416
6,3,9,0.001,3,1018,0.4086,0.2226,226.5883637
5,4,12,0.001,3,1172,0.4087,0.2224,260.6384163
6,4,13,0.0009,4,1013,0.4077,0.2203,223.13178
5,2,9,0.0011,4,1036,0.4073,0.2202,228.1633122
5,2,9,0.0011,4,1036,0.4073,0.2202,228.1633122
4,2,13,0.0011,2,1062,0.4077,0.2191,232.6716176
5,3,9,0.0009,4,1243,0.4063,0.2170,269.7673502
4,3,13,0.0011,4,1221,0.4062,0.2168,264.6825183
4,4,13,0.001,4,1300,0.4062,0.2130,276.85718
5,4,11,0.001,4,1219,0.4053,0.2122,258.6371768
4,3,10,0.0009,2,1256,0.4037,0.2094,262.9842797
4,2,9,0.0008,3,1307,0.4024,0.2078,271.6054787
5,3,9,0.0008,3,1249,0.4027,0.2054,256.536906
5,3,10,0.0011,4,1152,0.4010,0.2033,234.2196987
4,4,11,0.0009,3,1398,0.4013,0.2023,282.8226916
4,4,11,0.0009,3,1398,0.4013,0.2023,282.8226916
4,4,12,0.0009,4,1366,0.4012,0.2019,275.8226916
4,4,11,0.001,4,1392,0.4016,0.2017,280.7408089
4,4,11,0.001,2,1262,0.4010,0.1995,251.7408089
4,4,11,0.001,2,1262,0.4010,0.1995,251.7408089
4,2,9,0.0009,4,1305,0.4000,0.1989,259.5450548
5,4,13,0.0011,3,1129,0.4004,0.1982,223.7462077
4,3,10,0.0008,2,1262,0.4002,0.1981,249.9598021
5,4,9,0.0009,2,1251,0.4005,0.1974,246.9258415
4,4,12,0.001,4,1355,0.4000,0.1969,266.7408089
