N_CONSEC,lengthSMMA,length1,SL_PCT,MTPS,trades,win_rate,avg_r,
5,3,11,0.0007,4,1129,0.387953942,0.317693339,358.6757795
5,3,11,0.0007,2,1084,0.387453875,0.315937066,342.4757795
5,3,11,0.0007,2,1084,0.387453875,0.315937066,342.4757795
4,2,11,0.0008,4,1181,0.386113463,0.312959762,369.6054787
4,2,11,0.0008,4,1181,0.386113463,0.312959762,369.6054787
4,2,11,0.0008,3,1179,0.385920271,0.312303205,368.2054787
4,2,11,0.0007,3,1183,0.385460693,0.31000552,366.7365297
4,2,12,0.0007,3,1145,0.383406114,0.303012397,346.9491946
4,2,12,0.0007,4,1148,0.383275261,0.302568985,347.3491946
5,3,12,0.0007,3,1093,0.383348582,0.301990649,330.0757795
5,3,13,0.0007,3,1053,0.382716049,0.299861989,315.7546747
5,3,11,0.0008,2,1082,0.381700555,0.295930642,320.1969548
5,4,11,0.0007,4,1231,0.381803412,0.295320138,363.5390893
4,3,11,0.0008,3,1302,0.380952381,0.293828235,382.5643624
5,3,10,0.0007,4,1175,0.380425532,0.2921496,343.2757795
5,4,11,0.0007,3,1227,0.380603097,0.291229902,357.3390893
5,4,11,0.0007,3,1227,0.380603097,0.291229902,357.3390893
5,4,11,0.0007,3,1227,0.380603097,0.291229902,357.3390893
5,3,12,0.0008,2,1055,0.380094787,0.290423654,306.3969548
5,3,10,0.0007,3,1172,0.379692833,0.289655102,339.4757795
5,3,10,0.0007,3,1172,0.379692833,0.289655102,339.4757795
5,3,10,0.0007,3,1172,0.379692833,0.289655102,339.4757795
5,4,12,0.0007,2,1131,0.380194518,0.289602882,327.54086
5,4,12,0.0007,2,1131,0.380194518,0.289602882,327.54086
5,4,12,0.0007,4,1184,0.380067568,0.289308159,342.54086
5,4,12,0.0007,4,1184,0.380067568,0.289308159,342.54086
4,2,11,0.0008,2,1124,0.379003559,0.28879491,324.6054787
4,2,11,0.0007,2,1126,0.379218472,0.288753579,325.1365297
4,3,13,0.0007,4,1234,0.38006483,0.288569879,356.0952309
4,3,11,0.0007,4,1313,0.379284082,0.288550725,378.8671025
5,3,13,0.0008,2,1028,0.379377432,0.288001934,296.0659881
5,3,10,0.0007,2,1122,0.378787879,0.286520303,321.4757795
5,3,10,0.0007,2,1122,0.378787879,0.286520303,321.4757795
5,3,13,0.0008,3,1051,0.378686965,0.285695517,300.2659881
5,3,13,0.0008,3,1051,0.378686965,0.285695517,300.2659881
4,2,12,0.0007,2,1098,0.377959927,0.284471033,312.3491946
