dt,open,high,low,close,s1,s2,s3,SMMA,vix_d,aligned_long,aligned_short,close_above_smma,close_below_smma,consec_above,consec_below,armed_long,armed_short,armed_long_prev,armed_short_prev,long_entry_signal,short_entry_signal
2025-11-10 11:47:00-05:00,25362.6,25384.2,25362.6,25375.3,25392.66001847212,25385.32791649372,25376.96610354732,25373.059332251607,18.58,False,True,True,False,2,0,False,False,False,False,False,False
2025-11-10 11:48:00-05:00,25376.3,25383.0,25366.7,25381.2,25391.407501710437,25384.07653689529,25376.076741622346,25374.306221501072,18.58,False,True,True,False,3,0,False,False,False,False,False,False
2025-11-10 11:49:00-05:00,25381.1,25389.1,25378.0,25384.2,25390.27700773444,25383.084992202264,25375.959942530717,25377.237481000717,18.58,False,True,True,False,4,0,False,False,False,False,False,False
2025-11-10 11:50:00-05:00,25383.2,25397.4,25371.8,25378.8,25389.291685138774,25382.377130942987,25376.50046837004,25379.09165400048,18.58,False,True,False,True,0,2,False,False,False,False,False,False
2025-11-10 11:51:00-05:00,25377.5,25381.9,25367.3,25369.2,25388.380376368445,25381.775163972005,25376.935183633897,25377.386102666987,18.58,False,True,False,True,0,3,False,False,False,False,False,False
2025-11-10 11:52:00-05:00,25368.9,25381.0,25362.0,25368.4,25387.464639623428,25381.105466525085,25376.733530330526,25374.949068444654,18.58,False,True,False,True,0,4,False,True,False,False,False,False
2025-11-10 11:53:00-05:00,25366.8,25380.2,25365.8,25378.3,25386.54904704402,25380.38937513559,25376.17645135711,25374.224378963103,18.58,False,True,True,False,2,0,False,False,False,True,False,False
2025-11-10 11:54:00-05:00,25378.2,25380.8,25364.0,25367.9,25385.659612651005,25379.690977717044,25375.601353771177,25373.724585975404,18.58,False,True,False,True,0,2,False,False,False,False,False,False
2025-11-10 11:55:00-05:00,25367.7,25384.0,25363.5,25379.0,25384.805849124736,25379.032103017485,25375.099715261902,25373.66639065027,18.58,False,True,True,False,2,0,False,False,False,False,False,False
2025-11-10 11:56:00-05:00,25380.0,25402.7,25379.8,25400.8,25384.095604385748,25378.64227393548,25375.454341486962,25379.385927100182,18.58,False,True,True,False,3,0,False,False,False,False,False,False
2025-11-10 11:57:00-05:00,25399.7,25403.9,25394.4,25403.3,25383.66350099643,25378.785545478735,25377.358983573755,25386.36561806679,18.58,False,True,True,False,4,0,False,False,False,False,False,False
2025-11-10 11:58:00-05:00,25403.2,25414.7,25400.4,25411.8,25383.554946337637,25379.511277217276,25380.598905482166,25393.418745377858,18.58,False,False,True,False,5,0,False,False,False,False,False,False
2025-11-10 11:59:00-05:00,25410.8,25422.5,25409.0,25419.0,25383.79245543212,25380.818987895418,25384.878283820366,25400.720830251903,18.58,False,False,True,False,6,0,False,False,False,False,False,False
2025-11-10 12:00:00-05:00,25418.9,25428.9,25409.3,25427.4,25384.38179704152,25382.676518211832,25389.89859461195,25407.52222016793,18.58,False,False,True,False,7,0,False,False,False,False,False,False
2025-11-10 12:01:00-05:00,25428.0,25437.0,25424.5,25429.6,25385.328415008997,25385.05792049515,25395.48203662019,25414.93981344529,18.58,False,False,True,False,8,0,False,False,False,False,False,False
2025-11-10 12:02:00-05:00,25430.1,25436.6,25424.9,25435.9,25386.61098785782,25387.88584145424,25401.331891209767,25420.584875630197,18.58,True,False,True,False,9,0,True,False,False,False,False,False
2025-11-10 12:03:00-05:00,25435.6,25452.5,25435.6,25451.4,25388.227521468623,25391.134568799967,25407.414880872588,25428.3149170868,18.58,True,False,True,False,10,0,True,False,True,False,False,False
2025-11-10 12:04:00-05:00,25450.9,25461.3,25449.6,25454.9,25390.220783525452,25394.878388111898,25414.050129110503,25436.93494472453,18.58,True,False,True,False,11,0,True,False,True,False,False,False
2025-11-10 12:05:00-05:00,25454.3,25462.4,25444.0,25461.9,25392.55986179845,25399.028424281394,25420.904336512263,25443.17329648302,18.58,True,False,True,False,12,0,True,False,True,False,False,False
2025-11-10 12:06:00-05:00,25462.4,25473.6,25462.4,25466.9,25395.217721026173,25403.51486062735,25427.802255128336,25450.89053098868,18.58,True,False,True,False,13,0,True,False,True,False,False,False
2025-11-10 12:07:00-05:00,25467.9,25471.9,25463.4,25468.3,25398.16956488792,25408.280672716886,25434.6548806843,25456.55202065912,18.58,True,False,True,False,14,0,True,False,True,False,False,False
2025-11-10 12:08:00-05:00,25468.4,25473.1,25447.5,25452.9,25401.287185319932,25413.054108639255,25440.646079350492,25457.859680439415,18.58,True,False,False,True,0,2,False,False,True,False,True,False
2025-11-10 12:09:00-05:00,25454.6,25457.8,25441.3,25446.1,25404.3963930398,25417.492050046963,25444.919919855813,25455.22312029294,18.58,True,False,False,True,0,3,False,False,False,False,False,False
2025-11-10 12:10:00-05:00,25445.0,25449.0,25432.7,25435.0,25407.346237444137,25421.332661483335,25447.100459548907,25450.290413528626,18.58,True,False,False,True,0,4,False,False,False,False,False,False
2025-11-10 12:11:00-05:00,25434.7,25439.0,25420.1,25431.1,25410.02607676333,25424.421171646118,25447.234255349795,25443.93527568575,18.58,True,False,False,True,0,5,False,False,False,False,False,False
2025-11-10 12:12:00-05:00,25430.9,25442.0,25428.4,25436.4,25412.42490484659,25426.824189526735,25446.066015283293,25440.7651837905,18.58,True,False,False,True,0,6,False,False,False,False,False,False
2025-11-10 12:13:00-05:00,25435.4,25442.7,25423.6,25427.0,25414.57761580225,25428.692301063373,25444.381389514412,25437.901789193667,18.58,True,False,False,True,0,7,False,False,False,False,False,False
2025-11-10 12:14:00-05:00,25428.0,25435.2,25413.4,25415.0,25416.44235363573,25429.990968020204,25442.086341446375,25432.901192795776,18.58,True,False,False,True,0,8,False,False,False,False,False,False
2025-11-10 12:15:00-05:00,25416.0,25426.9,25404.9,25425.9,25417.976206608302,25430.682172279372,25439.090338129343,25428.075795197186,18.58,True,False,False,True,0,9,False,False,False,False,False,False
2025-11-10 12:16:00-05:00,25425.1,25432.9,25419.9,25429.0,25419.25099318529,25430.972074292014,25436.161436315382,25427.625530131456,18.58,True,False,True,False,2,0,False,False,False,False,False,False
2025-11-10 12:17:00-05:00,25429.1,25434.0,25424.2,25429.0,25420.366575162767,25431.10180941719,25433.97429153679,25428.108686754305,18.58,True,False,True,False,3,0,False,False,False,False,False,False
2025-11-10 12:18:00-05:00,25428.4,25439.9,25426.4,25436.9,25421.378310705913,25431.191151591243,25432.61398373097,25429.705791169534,18.58,True,False,True,False,4,0,True,False,False,False,False,False
2025-11-10 12:19:00-05:00,25436.0,25440.1,25431.0,25433.4,25422.330759426266,25431.324653743985,25432.047191903912,25431.51219411302,18.58,True,False,True,False,5,0,True,False,True,False,True,False
2025-11-10 12:20:00-05:00,25435.1,25444.9,25431.6,25444.6,25423.260672271565,25431.562537243488,25432.193328024667,25434.024796075348,18.58,True,False,True,False,6,0,True,False,True,False,True,False
2025-11-10 12:21:00-05:00,25443.5,25447.7,25434.5,25443.6,25424.203676490768,25431.958029798494,25432.9955909868,25436.7915307169,18.58,True,False,True,False,7,0,True,False,True,False,True,False
2025-11-10 12:22:00-05:00,25443.9,25452.4,25437.7,25452.1,25425.189586391618,25432.548451597864,25434.38082637043,25440.03602047793,18.58,True,False,True,False,8,0,True,False,True,False,True,False
2025-11-10 12:23:00-05:00,25452.0,25453.2,25444.4,25448.0,25426.239318262567,25433.350517602226,25436.244952858866,25443.15734698529,18.58,True,False,True,False,9,0,True,False,True,False,False,False
2025-11-10 12:24:00-05:00,25447.7,25449.7,25426.9,25438.0,25427.293087243826,25434.20921795985,25437.935821719868,25442.29656465686,18.58,True,False,False,True,0,2,False,False,True,False,True,False
2025-11-10 12:25:00-05:00,25436.5,25447.2,25436.5,25442.6,25428.287260393663,25434.978883646774,25439.021139025463,25441.764376437903,18.58,True,False,True,False,2,0,False,False,False,False,False,False
2025-11-10 12:26:00-05:00,25441.6,25449.4,25437.9,25444.0,25429.23782561773,25435.69907135853,25439.82130771372,25442.251250958605,18.58,True,False,True,False,3,0,False,False,False,False,False,False
2025-11-10 12:27:00-05:00,25444.9,25462.1,25440.1,25462.1,25430.21003508027,25436.510179614914,25440.90632490316,25445.600833972403,18.58,True,False,True,False,4,0,True,False,False,False,False,False
2025-11-10 12:28:00-05:00,25461.6,25466.0,25456.5,25457.2,25431.28755879747,25437.57795970568,25442.77536549778,25450.508889314937,18.58,True,False,True,False,5,0,True,False,True,False,False,False
2025-11-10 12:29:00-05:00,25457.4,25459.6,25447.6,25449.1,25432.442952803583,25438.815569378567,25444.928156593865,25451.48092620996,18.58,True,False,False,True,0,2,False,False,True,False,True,False
2025-11-10 12:30:00-05:00,25447.1,25463.2,25447.1,25460.9,25433.61350410187,25440.071775500943,25446.792995445718,25452.51228413997,18.58,True,False,True,False,2,0,False,False,False,False,False,False
2025-11-10 12:31:00-05:00,25460.8,25468.8,25458.8,25466.3,25434.84208871603,25441.437214114307,25448.792067595823,25456.23318942665,18.58,True,False,True,False,3,0,False,False,False,False,False,False
2025-11-10 12:32:00-05:00,25465.1,25473.3,25464.6,25471.2,25436.183820856484,25443.01979805091,25451.28672959218,25460.338792951097,18.58,True,False,True,False,4,0,True,False,False,False,False,False
2025-11-10 12:33:00-05:00,25471.3,25471.4,25462.8,25468.6,25437.628238187262,25444.77757564227,25454.025609043405,25463.067528634067,18.58,True,False,True,False,5,0,True,False,True,False,True,False
2025-11-10 12:34:00-05:00,25468.7,25471.4,25463.9,25466.7,25439.132544404012,25446.605347108863,25456.615361667315,25464.60335242271,18.58,True,False,True,False,6,0,True,False,True,False,True,False
2025-11-10 12:35:00-05:00,25467.9,25470.6,25464.7,25469.2,25440.6645820431,25448.43221314401,25458.889499217003,25465.76890161514,18.58,True,False,True,False,7,0,True,False,True,False,True,False
2025-11-10 12:36:00-05:00,25469.3,25479.2,25467.2,25477.9,25442.23416541961,25450.28413919205,25461.054762620395,25468.31260107676,18.58,True,False,True,False,8,0,True,False,True,False,True,False
2025-11-10 12:37:00-05:00,25476.8,25476.8,25467.3,25472.9,25443.84649339122,25452.17429866828,25463.20877905457,25470.025067384504,18.58,True,False,True,False,9,0,True,False,True,False,True,False
2025-11-10 12:38:00-05:00,25473.3,25483.4,25473.3,25476.6,25445.49300410464,25454.085042726892,25465.311747419324,25472.233378256336,18.58,True,False,True,False,10,0,True,False,True,False,False,False
2025-11-10 12:39:00-05:00,25477.3,25484.3,25475.1,25482.4,25447.184353889643,25456.041479770498,25467.479813764352,25474.747252170888,18.58,True,False,True,False,11,0,True,False,True,False,False,False
2025-11-10 12:40:00-05:00,25482.6,25497.5,25481.7,25492.5,25448.961052313953,25458.12980876939,25470.006167050877,25479.35650144726,18.58,True,False,True,False,12,0,True,False,True,False,False,False
