date,side,entry_time,entryTime,entry_price,exit_time,exitTime,exit_price,sl,tp,exit_reason,pnl_points,r_multiple,news1,news2,news3
2023-01-03,SHORT,2023-01-03 10:00:00-05:00,10:00,10923.8,2023-01-03 10:02:00-05:00,10:02,10904.68,10931.44,10904.68,TP,19.11664394,2.5,,,
2023-01-04,SHORT,2023-01-04 09:58:00-05:00,9:58,10898.27,2023-01-04 10:00:00-05:00,10:00,10879.2,10905.9,10879.2,TP,19.0719773,2.5,apmi1,jolts,fomc-m
2023-01-04,LONG,2023-01-04 10:50:00-05:00,10:50,10871.12,2023-01-04 10:55:00-05:00,10:55,10863.51,10863.51,10890.14,SL,-7.609783431,-1.0,apmi1,jolts,fomc-m
2023-01-05,SHORT,2023-01-05 09:37:00-05:00,9:37,10788.19,2023-01-05 09:38:00-05:00,9:38,10769.31,10795.74,10769.31,TP,18.87932795,2.5,,,adp-nfp
2023-01-05,SHORT,2023-01-05 10:38:00-05:00,10:38,10773.92,2023-01-05 10:39:00-05:00,10:39,10781.46,10781.46,10755.07,SL,-7.541743959,-1.0,,,adp-nfp
2023-01-05,SHORT,2023-01-05 10:58:00-05:00,10:58,10769.38,2023-01-05 11:05:00-05:00,11:05,10776.92,10776.92,10750.53,SL,-7.538564572,-1.0,,,adp-nfp
2023-01-06,SHORT,2023-01-06 09:46:00-05:00,9:46,10720.02,2023-01-06 09:47:00-05:00,9:47,10727.53,10727.53,10701.26,SL,-7.504016414,-1.0,,ur,nfp
2023-01-06,LONG,2023-01-06 10:12:00-05:00,10:12,10815.06,2023-01-06 10:13:00-05:00,10:13,10833.98,10807.49,10833.98,TP,18.92635038,2.5,,ur,nfp
2023-01-06,LONG,2023-01-06 10:42:00-05:00,10:42,10879.38,2023-01-06 10:44:00-05:00,10:44,10871.76,10871.76,10898.42,SL,-7.615564532,-1.0,,ur,nfp
2023-01-09,LONG,2023-01-09 09:30:00-05:00,9:30,11122.95,2023-01-09 09:31:00-05:00,9:31,11142.41,11115.16,11142.41,TP,19.46516098,2.5,,,
2023-01-09,LONG,2023-01-09 10:40:00-05:00,10:40,11262.52,2023-01-09 10:42:00-05:00,10:42,11254.63,11254.63,11282.23,SL,-7.883762116,-1.0,,,
2023-01-10,LONG,2023-01-10 09:38:00-05:00,9:38,11141.34,2023-01-10 09:39:00-05:00,9:39,11133.55,11133.55,11160.84,SL,-7.798941063,-1.0,fed-chair-s,,
2023-01-10,LONG,2023-01-10 10:08:00-05:00,10:08,11135.14,2023-01-10 10:10:00-05:00,10:10,11154.63,11127.35,11154.63,TP,19.48649566,2.5,fed-chair-s,,
2023-01-10,SHORT,2023-01-10 10:38:00-05:00,10:38,11084.56,2023-01-10 10:39:00-05:00,10:39,11092.31,11092.31,11065.16,SL,-7.759188984,-1.0,fed-chair-s,,
2023-01-11,LONG,2023-01-11 10:13:00-05:00,10:13,11278.24,2023-01-11 10:23:00-05:00,10:23,11297.98,11270.35,11297.98,TP,19.73692759,2.5,,,
2023-01-11,SHORT,2023-01-11 10:59:00-05:00,10:59,11247.59,2023-01-11 11:03:00-05:00,11:03,11255.46,11255.46,11227.9,SL,-7.873310414,-1.0,,,
2023-01-12,SHORT,2023-01-12 09:39:00-05:00,9:39,11366.96,2023-01-12 09:40:00-05:00,9:40,11374.92,11374.92,11347.07,SL_same_bar,-7.95687424,-1.0,cpi,,
2023-01-12,LONG,2023-01-12 10:18:00-05:00,10:18,11404.86,2023-01-12 10:19:00-05:00,10:19,11424.82,11396.87,11424.82,TP,19.95849888,2.5,cpi,,
2023-01-13,LONG,2023-01-13 09:32:00-05:00,9:32,11360.49,2023-01-13 09:33:00-05:00,9:33,11352.53,11352.53,11380.37,SL,-7.952340934,-1.0,puom-cs,,
2023-01-13,LONG,2023-01-13 10:50:00-05:00,10:50,11456.48,2023-01-13 10:51:00-05:00,10:51,11448.46,11448.46,11476.53,SL,-8.019535169,-1.0,puom-cs,,
2023-01-16,SHORT,2023-01-16 10:15:00-05:00,10:15,11516.38,2023-01-16 10:22:00-05:00,10:22,11524.45,11524.45,11496.23,SL,-8.061468909,-1.0,,,
2023-01-16,LONG,2023-01-16 10:35:00-05:00,10:35,11531.31,2023-01-16 11:19:00-05:00,11:19,11523.24,11523.24,11551.49,SL,-8.071920246,-1.0,,,
2023-01-17,LONG,2023-01-17 09:30:00-05:00,9:30,11537.27,2023-01-17 09:33:00-05:00,9:33,11529.2,11529.2,11557.46,SL,-8.07609157,-1.0,,,
2023-01-17,LONG,2023-01-17 10:07:00-05:00,10:07,11597.4,2023-01-17 10:10:00-05:00,10:10,11617.7,11589.28,11617.7,TP,20.29545201,2.5,,,
2023-01-17,SHORT,2023-01-17 10:40:00-05:00,10:40,11569.13,2023-01-17 10:41:00-05:00,10:41,11548.88,11577.23,11548.88,TP,20.24597389,2.5,,,
2023-01-18,SHORT,2023-01-18 09:48:00-05:00,9:48,11620.58,2023-01-18 09:49:00-05:00,9:49,11628.72,11628.72,11600.25,SL,-8.13440851,-1.0,ppi,retail-sales,
2023-01-18,LONG,2023-01-18 10:04:00-05:00,10:04,11667.85,2023-01-18 10:06:00-05:00,10:06,11688.27,11659.68,11688.27,TP,20.41873237,2.5,ppi,retail-sales,
2023-01-18,SHORT,2023-01-18 10:35:00-05:00,10:35,11626.96,2023-01-18 10:37:00-05:00,10:37,11606.62,11635.1,11606.62,TP,20.34718519,2.5,ppi,retail-sales,
2023-01-19,LONG,2023-01-19 09:35:00-05:00,9:35,11357.74,2023-01-19 09:36:00-05:00,9:36,11349.78,11349.78,11377.61,SL,-7.950414631,-1.0,,,
2023-01-19,SHORT,2023-01-19 10:35:00-05:00,10:35,11304.5,2023-01-19 10:38:00-05:00,10:38,11312.41,11312.41,11284.71,SL,-7.913147001,-1.0,,,
2023-01-19,SHORT,2023-01-19 10:51:00-05:00,10:51,11290.66,2023-01-19 10:55:00-05:00,10:55,11270.9,11298.56,11270.9,TP,19.75864921,2.5,,,
2023-01-20,LONG,2023-01-20 09:54:00-05:00,9:54,11394.38,2023-01-20 10:00:00-05:00,10:00,11386.4,11386.4,11414.32,SL,-7.976065366,-1.0,,,
2023-01-23,LONG,2023-01-23 09:44:00-05:00,9:44,11674.69,2023-01-23 09:47:00-05:00,9:47,11695.12,11666.52,11695.12,TP,20.4307078,2.5,,,
2023-01-24,LONG,2023-01-24 09:43:00-05:00,9:43,11820.55,2023-01-24 09:45:00-05:00,9:45,11812.28,11812.28,11841.24,SL,-8.274387702,-1.0,pmi9,,
2023-01-24,LONG,2023-01-24 10:59:00-05:00,10:59,11867.56,2023-01-24 11:00:00-05:00,11:00,11859.25,11859.25,11888.32,SL,-8.307289281,-1.0,pmi9,,
2023-01-25,SHORT,2023-01-25 09:53:00-05:00,9:53,11621.32,2023-01-25 09:54:00-05:00,9:54,11600.98,11629.46,11600.98,TP,20.33731309,2.5,,,
2023-01-26,SHORT,2023-01-26 10:11:00-05:00,10:11,11908.94,2023-01-26 10:12:00-05:00,10:12,11917.28,11917.28,11888.1,SL,-8.336260143,-1.0,,,
2023-01-26,SHORT,2023-01-26 10:59:00-05:00,10:59,11868.68,2023-01-26 11:01:00-05:00,11:01,11876.99,11876.99,11847.91,SL,-8.308073861,-1.0,,,
2023-01-27,LONG,2023-01-27 09:36:00-05:00,9:36,12023.03,2023-01-27 09:43:00-05:00,9:43,12044.07,12014.61,12044.07,TP,21.04030252,2.5,pce,,
2023-01-27,LONG,2023-01-27 10:41:00-05:00,10:41,12109.15,2023-01-27 10:43:00-05:00,10:43,12100.67,12100.67,12130.34,SL,-8.476405153,-1.0,pce,,
2023-01-27,SHORT,2023-01-27 10:57:00-05:00,10:57,12051.72,2023-01-27 10:58:00-05:00,10:58,12060.15,12060.15,12030.62,SL,-8.436200757,-1.0,pce,,
2023-01-30,LONG,2023-01-30 10:06:00-05:00,10:06,12076.84,2023-01-30 10:08:00-05:00,10:08,12068.39,12068.39,12097.98,SL,-8.453790593,-1.0,,,
2023-01-30,SHORT,2023-01-30 10:29:00-05:00,10:29,11993.34,2023-01-30 10:34:00-05:00,10:34,11972.36,12001.74,11972.36,TP,20.98835278,2.5,,,
2023-01-31,SHORT,2023-01-31 09:30:00-05:00,9:30,11925.38,2023-01-31 09:31:00-05:00,9:31,11933.72,11933.72,11904.51,SL,-8.34776317,-1.0,cb-cc,,
2023-01-31,LONG,2023-01-31 09:51:00-05:00,9:51,11984.53,2023-01-31 09:52:00-05:00,9:52,11976.14,11976.14,12005.5,SL,-8.389172153,-1.0,cb-cc,,
2023-01-31,LONG,2023-01-31 10:23:00-05:00,10:23,11984.05,2023-01-31 10:24:00-05:00,10:24,11975.66,11975.66,12005.02,SL,-8.388834827,-1.0,cb-cc,,
2023-02-01,SHORT,2023-02-01 10:55:00-05:00,10:55,12048.13,2023-02-01 11:00:00-05:00,11:00,12027.05,12056.56,12027.05,TP,21.08422691,2.5,apmi1,jolts,fomc-s
2023-02-02,LONG,2023-02-02 09:31:00-05:00,9:31,12636.21,2023-02-02 09:33:00-05:00,9:33,12658.32,12627.37,12658.32,TP,22.11336838,2.5,,,
2023-02-02,LONG,2023-02-02 10:26:00-05:00,10:26,12675.43,2023-02-02 10:30:00-05:00,10:30,12697.61,12666.55,12697.61,TP,22.18199472,2.5,,,
2023-02-03,LONG,2023-02-03 09:39:00-05:00,9:39,12583.99,2023-02-03 09:40:00-05:00,9:40,12606.01,12575.18,12606.01,TP,22.02198243,2.5,epmi1,ur,nfp
2023-02-03,LONG,2023-02-03 10:19:00-05:00,10:19,12726.92,2023-02-03 10:20:00-05:00,10:20,12749.19,12718.01,12749.19,TP,22.27210781,2.5,epmi1,ur,nfp
2023-02-06,LONG,2023-02-06 09:36:00-05:00,9:36,12494.26,2023-02-06 09:37:00-05:00,9:37,12485.52,12485.52,12516.13,SL,-8.745983716,-1.0,,,
2023-02-06,SHORT,2023-02-06 10:24:00-05:00,10:24,12449.78,2023-02-06 10:28:00-05:00,10:28,12427.99,12458.49,12427.99,TP,21.78711495,2.5,,,
2023-02-06,LONG,2023-02-06 10:55:00-05:00,10:55,12491.58,2023-02-06 11:06:00-05:00,11:06,12513.44,12482.83,12513.44,TP,21.86025799,2.5,,,
2023-02-07,SHORT,2023-02-07 10:12:00-05:00,10:12,12447.6,2023-02-07 10:14:00-05:00,10:14,12456.31,12456.31,12425.82,SL,-8.713319156,-1.0,fed-chair-s,,
2023-02-07,LONG,2023-02-07 10:47:00-05:00,10:47,12483.07,2023-02-07 10:57:00-05:00,10:57,12474.33,12474.33,12504.92,SL,-8.738149469,-1.0,fed-chair-s,,
2023-02-08,SHORT,2023-02-08 10:37:00-05:00,10:37,12574.85,2023-02-08 10:38:00-05:00,10:38,12583.65,12583.65,12552.84,SL,-8.802394194,-1.0,,,
2023-02-09,SHORT,2023-02-09 09:45:00-05:00,9:45,12606.43,2023-02-09 09:46:00-05:00,9:46,12615.25,12615.25,12584.37,SL,-8.824499735,-1.0,,,
2023-02-09,SHORT,2023-02-09 10:33:00-05:00,10:33,12588.23,2023-02-09 10:34:00-05:00,10:34,12597.05,12597.05,12566.2,SL,-8.811763831,-1.0,,,
2023-02-10,LONG,2023-02-10 09:34:00-05:00,9:34,12318.43,2023-02-10 09:35:00-05:00,9:35,12339.98,12309.8,12339.98,TP,21.55724399,2.5,puom-cs,,
2023-02-10,LONG,2023-02-10 10:21:00-05:00,10:21,12352.72,2023-02-10 10:22:00-05:00,10:22,12374.34,12344.08,12374.34,TP,21.61726859,2.5,puom-cs,,
2023-02-10,SHORT,2023-02-10 10:49:00-05:00,10:49,12302.89,2023-02-10 10:52:00-05:00,10:52,12281.36,12311.51,12281.36,TP,21.53006315,2.5,puom-cs,,
2023-02-13,LONG,2023-02-13 10:03:00-05:00,10:03,12413.72,2023-02-13 10:04:00-05:00,10:04,12405.03,12405.03,12435.44,SL,-8.689601166,-1.0,,,
2023-02-13,LONG,2023-02-13 10:31:00-05:00,10:31,12413.06,2023-02-13 10:49:00-05:00,10:49,12434.78,12404.37,12434.78,TP,21.72284637,2.5,,,
2023-02-14,SHORT,2023-02-14 09:34:00-05:00,9:34,12385.31,2023-02-14 09:35:00-05:00,9:35,12393.98,12393.98,12363.64,SL,-8.669720288,-1.0,cpi,,
2023-02-14,LONG,2023-02-14 09:51:00-05:00,9:51,12499.81,2023-02-14 09:53:00-05:00,9:53,12491.06,12491.06,12521.69,SL,-8.749869617,-1.0,cpi,,
2023-02-14,SHORT,2023-02-14 10:44:00-05:00,10:44,12447.36,2023-02-14 10:45:00-05:00,10:45,12425.57,12456.07,12425.57,TP,21.78287317,2.5,cpi,,
2023-02-15,LONG,2023-02-15 09:51:00-05:00,9:51,12566.77,2023-02-15 09:52:00-05:00,9:52,12557.98,12557.98,12588.77,SL,-8.796741652,-1.0,,retail-sales,
2023-02-15,SHORT,2023-02-15 10:10:00-05:00,10:10,12508.89,2023-02-15 10:12:00-05:00,10:12,12487.0,12517.64,12487.0,TP,21.89055502,2.5,,retail-sales,
2023-02-15,LONG,2023-02-15 10:35:00-05:00,10:35,12553.66,2023-02-15 10:36:00-05:00,10:36,12544.87,12544.87,12575.63,SL,-8.78756286,-1.0,,retail-sales,
2023-02-16,LONG,2023-02-16 09:55:00-05:00,9:55,12526.44,2023-02-16 09:59:00-05:00,9:59,12517.67,12517.67,12548.36,SL,-8.768508169,-1.0,ppi,,
2023-02-16,LONG,2023-02-16 10:13:00-05:00,10:13,12541.14,2023-02-16 10:14:00-05:00,10:14,12532.36,12532.36,12563.08,SL,-8.778795488,-1.0,ppi,,
2023-02-17,SHORT,2023-02-17 09:51:00-05:00,9:51,12285.31,2023-02-17 09:54:00-05:00,9:54,12263.82,12293.91,12263.82,TP,21.49930013,2.5,,,
2023-02-17,LONG,2023-02-17 10:22:00-05:00,10:22,12345.87,2023-02-17 10:23:00-05:00,10:23,12337.23,12337.23,12367.47,SL,-8.642108622,-1.0,,,
2023-02-17,SHORT,2023-02-17 10:54:00-05:00,10:54,12296.41,2023-02-17 11:02:00-05:00,11:02,12274.89,12305.02,12274.89,TP,21.51871618,2.5,,,
2023-02-20,SHORT,2023-02-20 09:37:00-05:00,9:37,12352.09,2023-02-20 12:59:00-05:00,12:59,12330.47,12360.74,12330.47,TP,21.61615716,2.5,bnk,,
