N_CONSEC,lengthSMMA,length1,SL_PCT,MTPS,trades,win_rate,avg_r,
4,2,11,0.0007,3,1183,0.38,0.32,384.1365297
4,2,11,0.0007,4,1186,0.38,0.32,384.6365297
5,4,11,0.0007,2,1162,0.38,0.31,363.7390893
5,4,11,0.0007,2,1162,0.38,0.31,363.7390893
5,3,13,0.0007,2,1030,0.37,0.31,319.2546747
5,4,11,0.0007,4,1231,0.37,0.30,375.2390893
4,2,11,0.001,4,1165,0.37,0.30,354.4356393
4,3,13,0.0007,4,1234,0.37,0.30,374.5952309
5,3,10,0.0007,3,1172,0.37,0.30,355.6757795
4,2,11,0.001,3,1163,0.37,0.30,352.9356393
4,2,12,0.001,4,1134,0.37,0.30,343.4445048
4,2,12,0.001,3,1132,0.37,0.30,341.9445048
5,4,13,0.0007,2,1097,0.37,0.30,330.74086
5,4,11,0.0007,3,1227,0.37,0.30,368.7390893
4,3,13,0.0007,3,1232,0.37,0.30,369.5952309
4,3,13,0.0007,3,1232,0.37,0.30,369.5952309
4,3,12,0.0007,4,1282,0.37,0.30,382.4185646
4,3,12,0.0007,4,1282,0.37,0.30,382.4185646
4,2,13,0.001,3,1093,0.37,0.30,325.7387793
5,4,12,0.0007,2,1131,0.37,0.30,335.24086
4,3,11,0.0008,3,1300,0.37,0.30,384.8643624
4,3,11,0.0008,3,1300,0.37,0.30,384.8643624
4,2,11,0.0009,4,1171,0.37,0.29,344.0820458
4,2,11,0.0009,4,1171,0.37,0.29,344.0820458
4,2,11,0.0009,3,1169,0.37,0.29,342.5820458
5,4,11,0.0008,2,1159,0.37,0.29,338.3967031
5,4,11,0.0008,2,1159,0.37,0.29,338.3967031
5,4,12,0.0007,3,1181,0.37,0.29,344.74086
5,4,12,0.0007,3,1181,0.37,0.29,344.74086
4,2,12,0.001,2,1087,0.37,0.29,316.9445048
5,3,9,0.0007,2,1176,0.37,0.29,341.5642952
5,3,9,0.0007,2,1176,0.37,0.29,341.5642952
4,2,12,0.0007,2,1098,0.37,0.29,318.6491946
4,2,12,0.0007,2,1098,0.37,0.29,318.6491946
5,3,11,0.0008,2,1081,0.37,0.29,313.1969548
5,4,12,0.0008,2,1128,0.37,0.29,323.8982525
4,2,12,0.0008,4,1145,0.37,0.29,328.3007409
4,2,12,0.0008,3,1143,0.37,0.29,326.8007409
5,3,13,0.0008,2,1028,0.37,0.28,292.7659881
5,3,13,0.0008,2,1028,0.37,0.28,292.7659881
5,4,13,0.0008,2,1095,0.37,0.28,311.3982525
5,4,13,0.0008,2,1095,0.37,0.28,311.3982525
5,4,12,0.0008,3,1177,0.37,0.28,334.3982525
4,3,13,0.0008,3,1228,0.37,0.28,348.5639748
5,4,11,0.0008,4,1222,0.37,0.28,345.3967031
5,3,11,0.0008,3,1123,0.37,0.28,316.6969548
4,3,13,0.0008,2,1162,0.37,0.28,323.5639748
5,2,9,0.0009,3,1043,0.37,0.28,288.8271606
5,2,9,0.0009,2,1005,0.37,0.28,277.8271606
4,2,12,0.0009,4,1138,0.36,0.28,314.0918963
4,2,12,0.0009,3,1136,0.36,0.28,312.5918963
4,2,13,0.0007,4,1106,0.37,0.27,303.8402414
4,2,13,0.0007,4,1106,0.37,0.27,303.8402414
5,3,9,0.0007,4,1254,0.37,0.27,344.0642952
4,3,12,0.0008,4,1276,0.36,0.27,349.4093918
5,2,9,0.0008,2,1011,0.36,0.27,276.0540058
5,4,10,0.0007,2,1206,0.36,0.27,326.7390893
5,4,10,0.0007,2,1206,0.36,0.27,326.7390893
4,2,11,0.0008,2,1124,0.36,0.27,303.7896591
5,3,12,0.0009,2,1048,0.36,0.27,282.685039
4,2,10,0.001,3,1214,0.36,0.27,327.3590401
4,2,10,0.001,4,1217,0.36,0.27,327.8590401
4,2,10,0.0008,3,1233,0.36,0.27,331.2896591
5,3,10,0.0008,3,1168,0.36,0.27,313.6969548
4,2,12,0.0009,2,1091,0.36,0.27,291.0918963
4,2,12,0.0009,2,1091,0.36,0.27,291.0918963
5,4,12,0.0009,3,1173,0.36,0.27,312.0004521
5,3,10,0.0008,2,1118,0.36,0.27,297.1969548
5,2,9,0.001,2,1001,0.36,0.27,265.9796434
5,4,11,0.0009,4,1218,0.36,0.27,322.9990749
5,4,11,0.0009,4,1218,0.36,0.27,322.9990749
5,3,12,0.001,2,1047,0.36,0.26,275.7514992
4,2,10,0.001,2,1143,0.36,0.26,300.3590401
4,2,10,0.001,2,1143,0.36,0.26,300.3590401
5,4,10,0.0007,4,1298,0.36,0.26,339.7390893
5,4,10,0.0007,4,1298,0.36,0.26,339.7390893
5,3,13,0.0009,2,1022,0.36,0.26,267.1873885
5,3,13,0.0009,2,1022,0.36,0.26,267.1873885
5,4,12,0.0009,2,1125,0.36,0.26,293.5004521
5,4,10,0.0008,2,1199,0.36,0.26,312.3967031
5,4,10,0.0008,2,1199,0.36,0.26,312.3967031
5,3,13,0.0009,4,1045,0.36,0.26,272.1873885
4,2,9,0.001,3,1276,0.36,0.26,331.9418056
5,3,11,0.001,4,1111,0.36,0.26,288.7514992
4,4,10,0.0007,2,1312,0.36,0.26,340.305413
5,3,11,0.001,3,1109,0.36,0.26,287.2514992
5,3,11,0.001,3,1109,0.36,0.26,287.2514992
5,4,10,0.0007,3,1294,0.36,0.26,333.2390893
5,3,13,0.001,2,1022,0.36,0.26,262.4499507
5,3,12,0.001,3,1081,0.36,0.26,276.7514992
5,3,11,0.0009,4,1114,0.36,0.25,283.185039
4,2,13,0.0009,2,1063,0.36,0.25,267.1966458
4,3,10,0.0007,4,1409,0.36,0.25,353.8670322
4,3,10,0.0007,4,1409,0.36,0.25,353.8670322
5,4,9,0.0008,2,1249,0.36,0.25,311.642287
4,3,11,0.0009,2,1201,0.36,0.25,297.6878432
5,4,9,0.0007,4,1385,0.36,0.25,340.5197566
4,3,13,0.0009,4,1224,0.36,0.24,299.806263
5,4,12,0.001,2,1123,0.36,0.24,274.99015
4,2,9,0.001,2,1185,0.36,0.24,289.9418056
4,3,13,0.0009,2,1157,0.36,0.24,282.806263
5,4,13,0.001,2,1090,0.36,0.24,266.161769
4,3,13,0.0009,3,1222,0.36,0.24,298.306263
4,3,10,0.0007,3,1403,0.36,0.24,342.3670322
5,4,10,0.0008,3,1283,0.36,0.24,312.3967031
4,3,11,0.001,4,1285,0.35,0.24,310.7376923
4,4,13,0.0009,3,1298,0.36,0.24,313.5337882
4,3,11,0.001,2,1198,0.35,0.24,289.2376923
4,4,13,0.0009,4,1301,0.36,0.24,314.0337882
5,3,10,0.0009,4,1157,0.35,0.24,278.685039
5,3,10,0.0009,4,1157,0.35,0.24,278.685039
5,3,10,0.0009,3,1155,0.35,0.24,277.185039
5,3,10,0.0009,3,1155,0.35,0.24,277.185039
5,3,10,0.0009,3,1155,0.35,0.24,277.185039
4,4,10,0.0007,4,1500,0.36,0.24,358.805413
4,2,13,0.0008,2,1068,0.35,0.24,254.9679069
4,4,11,0.0008,3,1396,0.35,0.24,332.5319276
4,4,11,0.0008,3,1396,0.35,0.24,332.5319276
4,2,9,0.0008,4,1309,0.35,0.24,311.2896591
4,2,9,0.0008,4,1309,0.35,0.24,311.2896591
4,2,9,0.0008,3,1304,0.35,0.24,309.2896591
4,3,9,0.0007,4,1502,0.35,0.24,355.3670322
4,3,9,0.0007,4,1502,0.35,0.24,355.3670322
4,3,12,0.001,4,1265,0.35,0.24,299.2737158
4,3,12,0.001,4,1265,0.35,0.24,299.2737158
4,3,12,0.001,4,1265,0.35,0.24,299.2737158
4,4,9,0.0007,2,1342,0.35,0.24,317.305413
4,4,12,0.0008,3,1358,0.35,0.23,318.0319276
4,4,12,0.0008,3,1358,0.35,0.23,318.0319276
4,4,12,0.0008,3,1358,0.35,0.23,318.0319276
4,4,12,0.0008,4,1364,0.35,0.23,319.0319276
5,3,9,0.0008,3,1247,0.35,0.23,291.036906
4,4,13,0.0009,2,1213,0.35,0.23,283.0337882
4,4,13,0.0009,2,1213,0.35,0.23,283.0337882
5,3,10,0.001,4,1152,0.35,0.23,268.7514992
5,4,9,0.0009,2,1242,0.35,0.23,288.7173717
5,4,10,0.0009,2,1194,0.35,0.23,276.9990749
5,4,10,0.0009,2,1194,0.35,0.23,276.9990749
5,4,10,0.0009,2,1194,0.35,0.23,276.9990749
4,4,11,0.0009,4,1397,0.35,0.23,322.4953994
4,4,12,0.0009,4,1358,0.35,0.23,312.4953994
4,3,10,0.0008,4,1396,0.35,0.23,320.8018009
5,4,9,0.0008,3,1366,0.35,0.23,313.642287
5,4,9,0.0008,3,1366,0.35,0.23,313.642287
4,3,13,0.001,4,1222,0.35,0.23,280.0442701
4,3,13,0.001,4,1222,0.35,0.23,280.0442701
4,3,13,0.001,3,1220,0.35,0.23,278.5442701
4,2,9,0.0007,2,1208,0.35,0.23,275.1365297
4,3,13,0.001,2,1156,0.35,0.23,262.0442701
4,3,10,0.0008,3,1391,0.35,0.23,315.3018009
4,3,10,0.0008,3,1391,0.35,0.23,315.3018009
5,4,11,0.001,3,1209,0.35,0.22,269.4889105
4,4,13,0.001,4,1294,0.35,0.22,286.4589967
5,4,9,0.0009,3,1355,0.35,0.22,298.2173717
5,4,9,0.0009,4,1362,0.35,0.22,298.2173717
4,4,11,0.001,4,1380,0.35,0.22,301.4856026
4,4,11,0.001,4,1380,0.35,0.22,301.4856026
4,4,11,0.001,2,1252,0.35,0.21,268.4856026
4,4,11,0.001,2,1252,0.35,0.21,268.4856026
4,4,9,0.0007,3,1571,0.35,0.21,336.805413
4,3,9,0.001,2,1283,0.35,0.21,274.4904501
4,3,9,0.0008,2,1301,0.35,0.21,275.8018009
4,3,10,0.001,2,1242,0.35,0.21,262.9904501
4,3,9,0.0008,3,1478,0.35,0.21,308.8018009
4,3,10,0.0009,3,1374,0.34,0.21,282.4686852
5,4,9,0.001,2,1230,0.35,0.21,252.1853776
4,4,12,0.001,4,1346,0.35,0.20,272.6710066
4,4,12,0.001,4,1346,0.35,0.20,272.6710066
4,4,12,0.001,4,1346,0.35,0.20,272.6710066
4,3,9,0.0009,3,1460,0.34,0.20,294.4686852
4,3,9,0.0009,4,1469,0.34,0.20,295.9686852
4,4,12,0.001,3,1340,0.34,0.20,268.1710066
4,4,12,0.001,3,1340,0.34,0.20,268.1710066
4,4,9,0.0008,3,1557,0.34,0.19,301.3922364
4,4,9,0.0008,3,1557,0.34,0.19,301.3922364
4,4,9,0.0008,4,1578,0.34,0.19,301.3922364
4,4,9,0.0008,4,1578,0.34,0.19,301.3922364
5,4,10,0.001,3,1262,0.34,0.19,240.9889105
4,4,9,0.001,2,1310,0.34,0.18,242.1808302
4,4,9,0.001,3,1522,0.34,0.17,264.6808302
4,4,9,0.001,3,1522,0.34,0.17,264.6808302
,,,,,,,,x
