date,side,entry_time,entry_price,exit_time,exit_price,sl,tp,exit_reason,pnl_points,r_multiple
1/3/23,SHORT,2023-01-03 10:00:00-05:00,10923.79653463496,2023-01-03 10:04:00-05:00,10899.764182258763,10935.812710823058,10899.764182258763,TP,24.032352376196286,2
1/4/23,SHORT,2023-01-04 09:57:00-05:00,10899.859117828808,2023-01-04 10:00:00-05:00,10875.879427769585,10911.848962858421,10875.879427769585,TP,23.979690059222776,2
1/5/23,SHORT,2023-01-05 09:35:00-05:00,10794.140400539594,2023-01-05 09:38:00-05:00,10770.393291658407,10806.01395498019,10770.393291658407,TP,23.74710888118716,2
1/5/23,SHORT,2023-01-05 10:57:00-05:00,10770.104440185818,2023-01-05 11:11:00-05:00,10781.951555070023,10781.951555070023,10746.410210417409,SL,-11.84711488,-1
1/6/23,SHORT,2023-01-06 09:46:00-05:00,10720.02344837536,2023-01-06 09:51:00-05:00,10731.815474168574,10731.815474168574,10696.439396788934,SL,-11.79202579,-1
1/6/23,LONG,2023-01-06 10:12:00-05:00,10815.057362758182,2023-01-06 10:13:00-05:00,10838.85048895625,10803.160799659148,10838.85048895625,TP,23.79312619806842,2
1/9/23,LONG,2023-01-09 09:30:00-05:00,11122.949131848225,2023-01-09 09:31:00-05:00,11147.419619938291,11110.713887803193,11147.419619938291,TP,24.470488090066283,2
1/9/23,LONG,2023-01-09 10:40:00-05:00,11262.517308558505,2023-01-09 11:06:00-05:00,11287.294846637333,11250.12853951909,11287.294846637333,TP,24.77753808,2
1/10/23,LONG,2023-01-10 09:37:00-05:00,11138.829062809136,2023-01-10 09:39:00-05:00,11126.576350840047,11126.576350840047,11163.334486747317,SL,-12.25271197,-1
1/10/23,LONG,2023-01-10 10:08:00-05:00,11135.14037881405,2023-01-10 10:12:00-05:00,11159.63768764744,11122.891724397356,11159.63768764744,TP,24.49730883338998,2
1/10/23,SHORT,2023-01-10 10:38:00-05:00,11084.555691278205,2023-01-10 10:40:00-05:00,11096.748702538613,11096.748702538613,11060.169668757393,SL,-12.19301126,-1
1/11/23,LONG,2023-01-11 09:39:00-05:00,11260.739455459909,2023-01-11 09:41:00-05:00,11248.352642058902,11248.352642058902,11285.51308226192,SL,-12.3868134,-1
1/11/23,LONG,2023-01-11 10:12:00-05:00,11279.291509675568,2023-01-11 10:27:00-05:00,11304.105950996855,11266.884289014924,11304.105950996855,TP,24.814441321286722,2
1/11/23,SHORT,2023-01-11 10:59:00-05:00,11247.586306111683,2023-01-11 11:07:00-05:00,11259.958651048408,11259.958651048408,11222.841616238238,SL,-12.37234494,-1
1/12/23,SHORT,2023-01-12 09:36:00-05:00,11374.14767281316,2023-01-12 09:37:00-05:00,11349.124547932972,11386.659235253255,11349.124547932972,TP,25.023124880188334,2
