date,dayOfWeek,side,entryTime,entry_price,exitTime,exit_price,sl,tp,exit_reason,pnl_points,r_multiple,battingAvg,maxDD,maxWW
1/3/23,2,SHORT,10:00,10923.8,10:02,10904.68,10931.44,10904.68,TP,19.12,2.50,1,0,1
1/6/23,5,SHORT,9:46,10720.02,9:47,10727.53,10727.53,10701.26,SL,-7.5,-1.00,0,1,0
1/6/23,5,LONG,10:12,10815.06,10:13,10833.98,10807.49,10833.98,TP,18.93,2.50,1,0,1
1/6/23,5,LONG,10:42,10879.38,10:44,10871.76,10871.76,10898.42,SL,-7.62,-1.00,0,1,0
1/9/23,1,LONG,9:30,11122.95,9:31,11142.41,11115.16,11142.41,TP,19.47,2.50,1,0,1
1/9/23,1,LONG,10:40,11262.52,10:42,11254.63,11254.63,11282.23,SL,-7.88,-1.00,0,1,0
1/10/23,2,LONG,9:38,11141.34,9:39,11133.55,11133.55,11160.84,SL,-7.8,-1.00,0,2,0
1/10/23,2,LONG,10:08,11135.14,10:10,11154.63,11127.35,11154.63,TP,19.49,2.50,1,0,1
1/10/23,2,SHORT,10:38,11084.56,10:39,11092.31,11092.31,11065.16,SL,-7.76,-1.00,0,1,0
1/11/23,3,LONG,10:13,11278.24,10:23,11297.98,11270.35,11297.98,TP,19.74,2.50,1,0,1
1/11/23,3,SHORT,10:59,11247.59,11:03,11255.46,11255.46,11227.9,SL,-7.87,-1.00,0,1,0
1/12/23,4,SHORT,9:39,11366.96,9:40,11374.92,11374.92,11347.07,SL_same_bar,-7.96,-1.00,0,2,0
1/12/23,4,LONG,10:18,11404.86,10:19,11424.82,11396.87,11424.82,TP,19.96,2.50,1,0,1
1/13/23,5,LONG,9:32,11360.49,9:33,11352.53,11352.53,11380.37,SL,-7.95,-1.00,0,1,0
1/13/23,5,LONG,10:50,11456.48,10:51,11448.46,11448.46,11476.53,SL,-8.02,-1.00,0,2,0
1/16/23,1,SHORT,10:15,11516.38,10:22,11524.45,11524.45,11496.23,SL,-8.06,-1.00,0,3,0
1/16/23,1,LONG,10:35,11531.31,11:19,11523.24,11523.24,11551.49,SL,-8.07,-1.00,0,4,0
1/17/23,2,LONG,9:30,11537.27,9:33,11529.2,11529.2,11557.46,SL,-8.08,-1.00,0,5,0
1/17/23,2,LONG,10:07,11597.4,10:10,11617.7,11589.28,11617.7,TP,20.3,2.50,1,0,1
1/17/23,2,SHORT,10:40,11569.13,10:41,11548.88,11577.23,11548.88,TP,20.25,2.50,1,0,2
1/18/23,3,SHORT,9:48,11620.58,9:49,11628.72,11628.72,11600.25,SL,-8.13,-1.00,0,1,0
1/18/23,3,LONG,10:04,11667.85,10:06,11688.27,11659.68,11688.27,TP,20.42,2.50,1,0,1
1/18/23,3,SHORT,10:35,11626.96,10:37,11606.62,11635.1,11606.62,TP,20.35,2.50,1,0,2
1/19/23,4,LONG,9:35,11357.74,9:36,11349.78,11349.78,11377.61,SL,-7.95,-1.00,0,1,0
1/19/23,4,SHORT,10:35,11304.5,10:38,11312.41,11312.41,11284.71,SL,-7.91,-1.00,0,2,0
1/19/23,4,SHORT,10:51,11290.66,10:55,11270.9,11298.56,11270.9,TP,19.76,2.50,1,0,1
1/20/23,5,LONG,9:54,11394.38,10:00,11386.4,11386.4,11414.32,SL,-7.98,-1.00,0,1,0
1/23/23,1,LONG,9:44,11674.69,9:47,11695.12,11666.52,11695.12,TP,20.43,2.50,1,0,1
1/25/23,3,SHORT,9:53,11621.32,9:54,11600.98,11629.46,11600.98,TP,20.34,2.50,1,0,2
1/26/23,4,SHORT,10:11,11908.94,10:12,11917.28,11917.28,11888.1,SL,-8.34,-1.00,0,1,0
1/26/23,4,SHORT,10:59,11868.68,11:01,11876.99,11876.99,11847.91,SL,-8.31,-1.00,0,2,0
1/27/23,5,LONG,9:36,12023.03,9:43,12044.07,12014.61,12044.07,TP,21.04,2.50,1,0,1
1/27/23,5,LONG,10:41,12109.15,10:43,12100.67,12100.67,12130.34,SL,-8.48,-1.00,0,1,0
1/27/23,5,SHORT,10:57,12051.72,10:58,12060.15,12060.15,12030.62,SL,-8.44,-1.00,0,2,0
1/30/23,1,LONG,10:06,12076.84,10:08,12068.39,12068.39,12097.98,SL,-8.45,-1.00,0,3,0
1/30/23,1,SHORT,10:29,11993.34,10:34,11972.36,12001.74,11972.36,TP,20.99,2.50,1,0,1
2/2/23,4,LONG,9:31,12636.21,9:33,12658.32,12627.37,12658.32,TP,22.11,2.50,1,0,2
2/2/23,4,LONG,10:26,12675.43,10:30,12697.61,12666.55,12697.61,TP,22.18,2.50,1,0,3
2/3/23,5,LONG,9:39,12583.99,9:40,12606.01,12575.18,12606.01,TP,22.02,2.50,1,0,4
2/3/23,5,LONG,10:19,12726.92,10:20,12749.19,12718.01,12749.19,TP,22.27,2.50,1,0,5
2/6/23,1,LONG,9:36,12494.26,9:37,12485.52,12485.52,12516.13,SL,-8.75,-1.00,0,1,0
2/6/23,1,SHORT,10:24,12449.78,10:28,12427.99,12458.49,12427.99,TP,21.79,2.50,1,0,1
2/6/23,1,LONG,10:55,12491.58,11:06,12513.44,12482.83,12513.44,TP,21.86,2.50,1,0,2
2/7/23,2,SHORT,10:12,12447.6,10:14,12456.31,12456.31,12425.82,SL,-8.71,-1.00,0,1,0
2/7/23,2,LONG,10:47,12483.07,10:57,12474.33,12474.33,12504.92,SL,-8.74,-1.00,0,2,0
2/8/23,3,SHORT,10:37,12574.85,10:38,12583.65,12583.65,12552.84,SL,-8.8,-1.00,0,3,0
2/9/23,4,SHORT,9:45,12606.43,9:46,12615.25,12615.25,12584.37,SL,-8.82,-1.00,0,4,0
2/9/23,4,SHORT,10:33,12588.23,10:34,12597.05,12597.05,12566.2,SL,-8.81,-1.00,0,5,0
2/10/23,5,LONG,9:34,12318.43,9:35,12339.98,12309.8,12339.98,TP,21.56,2.50,1,0,1
2/10/23,5,LONG,10:21,12352.72,10:22,12374.34,12344.08,12374.34,TP,21.62,2.50,1,0,2
2/10/23,5,SHORT,10:49,12302.89,10:52,12281.36,12311.51,12281.36,TP,21.53,2.50,1,0,3
2/13/23,1,LONG,10:03,12413.72,10:04,12405.03,12405.03,12435.44,SL,-8.69,-1.00,0,1,0
2/13/23,1,LONG,10:31,12413.06,10:49,12434.78,12404.37,12434.78,TP,21.72,2.50,1,0,1
2/14/23,2,SHORT,9:34,12385.31,9:35,12393.98,12393.98,12363.64,SL,-8.67,-1.00,0,1,0
2/14/23,2,LONG,9:51,12499.81,9:53,12491.06,12491.06,12521.69,SL,-8.75,-1.00,0,2,0
2/14/23,2,SHORT,10:44,12447.36,10:45,12425.57,12456.07,12425.57,TP,21.78,2.50,1,0,1
2/15/23,3,LONG,9:51,12566.77,9:52,12557.98,12557.98,12588.77,SL,-8.8,-1.00,0,1,0
2/15/23,3,SHORT,10:10,12508.89,10:12,12487,12517.64,12487,TP,21.89,2.50,1,0,1
2/15/23,3,LONG,10:35,12553.66,10:36,12544.87,12544.87,12575.63,SL,-8.79,-1.00,0,1,0
2/16/23,4,LONG,9:55,12526.44,9:59,12517.67,12517.67,12548.36,SL,-8.77,-1.00,0,2,0
2/16/23,4,LONG,10:13,12541.14,10:14,12532.36,12532.36,12563.08,SL,-8.78,-1.00,0,3,0
2/17/23,5,SHORT,9:51,12285.31,9:54,12263.82,12293.91,12263.82,TP,21.5,2.50,1,0,1
2/17/23,5,LONG,10:22,12345.87,10:23,12337.23,12337.23,12367.47,SL,-8.64,-1.00,0,1,0
2/17/23,5,SHORT,10:54,12296.41,11:02,12274.89,12305.02,12274.89,TP,21.52,2.50,1,0,1
2/20/23,1,SHORT,9:37,12352.09,12:59,12330.47,12360.74,12330.47,TP,21.62,2.50,1,0,2
2/22/23,3,LONG,9:43,12114.75,9:46,12135.95,12106.27,12135.95,TP,21.2,2.50,1,0,3
2/22/23,3,SHORT,10:05,12069.81,10:10,12048.69,12078.26,12048.69,TP,21.12,2.50,1,0,4
2/22/23,3,LONG,10:58,12063.96,11:12,12055.52,12055.52,12085.08,SL,-8.44,-1.00,0,1,0
2/23/23,4,SHORT,10:13,12150.01,10:14,12158.51,12158.51,12128.75,SL,-8.51,-1.00,0,2,0
2/23/23,4,SHORT,10:54,12091.33,11:01,12099.79,12099.79,12070.17,SL,-8.46,-1.00,0,3,0
2/24/23,5,SHORT,10:02,11941.27,10:03,11949.63,11949.63,11920.37,SL,-8.36,-1.00,0,4,0
2/24/23,5,SHORT,10:57,11901.4,10:59,11909.73,11909.73,11880.57,SL,-8.33,-1.00,0,5,0
2/27/23,1,LONG,10:07,12129.54,10:08,12150.77,12121.05,12150.77,TP,21.23,2.50,1,0,1
2/27/23,1,SHORT,10:44,12071.14,10:50,12079.59,12079.59,12050.02,SL,-8.45,-1.00,0,1,0
3/2/23,4,LONG,9:32,11836.87,9:34,11857.59,11828.59,11857.59,TP,20.71,2.50,1,0,1
3/2/23,4,LONG,10:56,11903.04,11:05,11894.71,11894.71,11923.87,SL,-8.33,-1.00,0,1,0
3/3/23,5,SHORT,9:33,12101.53,9:37,12110,12110,12080.35,SL,-8.47,-1.00,0,2,0
3/3/23,5,LONG,9:51,12143.12,9:53,12164.37,12134.62,12164.37,TP,21.25,2.50,1,0,1
3/3/23,5,LONG,10:26,12189.49,10:33,12210.82,12180.96,12210.82,TP,21.33,2.50,1,0,2
3/6/23,1,LONG,9:44,12361.16,9:46,12352.5,12352.5,12382.79,SL,-8.65,-1.00,0,1,0
3/6/23,1,LONG,10:12,12376.11,10:17,12397.76,12367.44,12397.76,TP,21.66,2.50,1,0,1
3/9/23,4,LONG,9:52,12304.36,10:03,12325.89,12295.75,12325.89,TP,21.53,2.50,1,0,2
3/9/23,4,LONG,10:45,12323.28,10:50,12314.65,12314.65,12344.84,SL,-8.63,-1.00,0,1,0
3/10/23,5,SHORT,9:38,11952.49,9:39,11931.58,11960.86,11931.58,TP,20.92,2.50,1,0,1
3/13/23,1,SHORT,9:40,11732.01,9:41,11740.23,11740.23,11711.48,SL_same_bar,-8.21,-1.00,0,1,0
3/13/23,1,LONG,9:59,11884.03,10:00,11875.72,11875.72,11904.83,SL,-8.32,-1.00,0,2,0
3/14/23,2,LONG,9:33,12077.18,9:34,12068.73,12068.73,12098.32,SL,-8.45,-1.00,0,3,0
3/14/23,2,LONG,10:06,12130.78,10:10,12122.29,12122.29,12152.01,SL,-8.49,-1.00,0,4,0
3/15/23,3,LONG,9:32,12079.07,9:33,12100.21,12070.61,12100.21,TP,21.14,2.50,1,0,1
3/15/23,3,SHORT,10:28,12068.09,10:29,12076.54,12076.54,12046.97,SL,-8.45,-1.00,0,1,0
3/16/23,4,SHORT,9:32,12208.04,9:36,12186.68,12216.59,12186.68,TP,21.36,2.50,1,0,1
3/16/23,4,LONG,9:55,12244.36,9:56,12265.79,12235.79,12265.79,TP,21.43,2.50,1,0,2
3/16/23,4,LONG,10:40,12281.83,10:41,12303.32,12273.23,12303.32,TP,21.49,2.50,1,0,3
3/17/23,5,LONG,9:41,12599.31,9:42,12590.49,12590.49,12621.36,SL,-8.82,-1.00,0,1,0
3/17/23,5,LONG,10:05,12649.09,10:07,12640.24,12640.24,12671.23,SL,-8.85,-1.00,0,2,0
3/17/23,5,SHORT,10:26,12569.46,10:27,12547.46,12578.25,12547.46,TP,22,2.50,1,0,1
3/20/23,1,SHORT,9:30,12498.48,9:31,12476.61,12507.23,12476.61,TP,21.87,2.50,1,0,2
3/20/23,1,LONG,10:32,12479.98,10:33,12471.24,12471.24,12501.82,SL,-8.74,-1.00,0,1,0
3/20/23,1,LONG,10:53,12491.97,10:58,12513.83,12483.23,12513.83,TP,21.86,2.50,1,0,1
3/21/23,2,LONG,9:36,12667.36,9:38,12658.49,12658.49,12689.52,SL,-8.87,-1.00,0,1,0
3/21/23,2,LONG,10:02,12686.21,10:04,12677.33,12677.33,12708.41,SL,-8.88,-1.00,0,2,0
3/21/23,2,SHORT,10:19,12642.52,10:24,12620.39,12651.37,12620.39,TP,22.12,2.50,1,0,1
3/23/23,4,LONG,9:34,12733.87,9:36,12724.95,12724.95,12756.15,SL,-8.91,-1.00,0,1,0
3/23/23,4,LONG,10:55,12863.14,10:57,12854.14,12854.14,12885.65,SL,-9,-1.00,0,2,0
3/27/23,1,SHORT,9:34,12782.49,9:35,12791.44,12791.44,12760.12,SL,-8.95,-1.00,0,3,0
3/27/23,1,LONG,9:52,12826.31,9:54,12817.33,12817.33,12848.76,SL,-8.98,-1.00,0,4,0
3/27/23,1,SHORT,10:33,12767.06,10:36,12744.72,12776,12744.72,TP,22.34,2.50,1,0,1
3/29/23,3,LONG,9:35,12782.48,9:48,12804.85,12773.53,12804.85,TP,22.37,2.50,1,0,2
3/29/23,3,SHORT,10:29,12769.27,10:38,12746.93,12778.21,12746.93,TP,22.35,2.50,1,0,3
3/30/23,4,LONG,10:02,12952.77,10:05,12943.71,12943.71,12975.44,SL,-9.07,-1.00,0,1,0
3/30/23,4,LONG,10:33,12975.63,10:34,12966.55,12966.55,12998.34,SL,-9.08,-1.00,0,2,0
3/31/23,5,LONG,9:44,13009.57,9:52,13032.33,13000.46,13032.33,TP,22.77,2.50,1,0,1
3/31/23,5,LONG,10:38,13050.04,11:22,13072.87,13040.9,13072.87,TP,22.84,2.50,1,0,2
4/4/23,2,SHORT,9:46,13123.44,9:47,13132.62,13132.62,13100.47,SL,-9.19,-1.00,0,1,0
4/4/23,2,LONG,10:16,13191.89,10:17,13182.65,13182.65,13214.97,SL,-9.23,-1.00,0,2,0
4/4/23,2,SHORT,10:50,13146.73,10:54,13155.94,13155.94,13123.73,SL,-9.2,-1.00,0,3,0
4/6/23,4,SHORT,9:37,12859.9,9:38,12868.9,12868.9,12837.39,SL,-9,-1.00,0,4,0
4/6/23,4,LONG,10:09,12911.47,10:11,12934.06,12902.43,12934.06,TP,22.6,2.50,1,0,1
4/10/23,1,SHORT,9:30,12933.19,9:32,12910.55,12942.24,12910.55,TP,22.63,2.50,1,0,2
4/10/23,1,LONG,10:19,12902.03,10:20,12893,12893,12924.61,SL,-9.03,-1.00,0,1,0
4/10/23,1,LONG,10:41,12914.18,11:04,12936.78,12905.14,12936.78,TP,22.6,2.50,1,0,1
4/11/23,2,SHORT,9:44,13001.38,9:48,13010.48,13010.48,12978.62,SL,-9.1,-1.00,0,1,0
4/11/23,2,SHORT,10:48,12960.9,10:49,12969.98,12969.98,12938.22,SL,-9.07,-1.00,0,2,0
4/12/23,3,SHORT,9:30,13045.43,9:31,13054.57,13054.57,13022.61,SL,-9.13,-1.00,0,3,0
4/12/23,3,SHORT,10:58,12920.64,11:01,12898.03,12929.69,12898.03,TP,22.61,2.50,1,0,1
4/13/23,4,LONG,9:38,12946.27,9:39,12968.93,12937.21,12968.93,TP,22.66,2.50,1,0,2
4/14/23,5,LONG,9:32,13039.1,9:36,13061.91,13029.97,13061.91,TP,22.82,2.50,1,0,3
4/14/23,5,SHORT,10:26,13044.36,10:42,13021.53,13053.49,13021.53,TP,22.83,2.50,1,0,4
4/17/23,1,SHORT,9:30,13061.94,9:33,13071.08,13071.08,13039.08,SL,-9.14,-1.00,0,1,0
4/17/23,1,SHORT,10:44,13020.75,10:48,13029.86,13029.86,12997.96,SL,-9.11,-1.00,0,2,0
4/18/23,2,SHORT,9:35,13168.07,9:36,13177.28,13177.28,13145.02,SL,-9.22,-1.00,0,3,0
4/18/23,2,SHORT,10:07,13118.19,10:25,13095.23,13127.37,13095.23,TP,22.96,2.50,1,0,1
4/19/23,3,LONG,9:37,13017.69,9:40,13008.58,13008.58,13040.47,SL,-9.11,-1.00,0,1,0
4/19/23,3,LONG,10:42,13034.07,11:01,13056.88,13024.95,13056.88,TP,22.81,2.50,1,0,1
4/20/23,4,LONG,9:43,12996.99,9:46,13019.74,12987.9,13019.74,TP,22.74,2.50,1,0,2
4/24/23,1,SHORT,9:30,12987.01,9:33,12996.1,12996.1,12964.28,SL,-9.09,-1.00,0,1,0
4/24/23,1,LONG,9:43,13034.53,9:50,13025.4,13025.4,13057.34,SL,-9.12,-1.00,0,2,0
4/24/23,1,SHORT,10:08,12991.34,10:13,13000.44,13000.44,12968.61,SL,-9.09,-1.00,0,3,0
4/26/23,3,SHORT,9:35,12840.3,9:36,12849.28,12849.28,12817.82,SL,-8.99,-1.00,0,4,0
4/26/23,3,SHORT,10:24,12822.47,10:29,12831.45,12831.45,12800.03,SL,-8.98,-1.00,0,5,0
4/27/23,4,LONG,10:13,12976.08,10:14,12998.79,12967,12998.79,TP,22.71,2.50,1,0,1
4/28/23,5,SHORT,9:45,13110.22,9:46,13119.4,13119.4,13087.28,SL,-9.18,-1.00,0,1,0
4/28/23,5,LONG,10:19,13190.16,10:26,13213.25,13180.93,13213.25,TP,23.08,2.50,1,0,1
5/2/23,2,SHORT,9:43,13206.62,9:44,13215.87,13215.87,13183.51,SL,-9.24,-1.00,0,1,0
5/2/23,2,SHORT,10:05,13204.07,10:10,13180.97,13213.32,13180.97,TP,23.11,2.50,1,0,1
5/4/23,4,SHORT,9:43,12986.7,9:44,12963.97,12995.79,12963.97,TP,22.73,2.50,1,0,2
5/4/23,4,SHORT,10:25,12958.76,10:35,12967.83,12967.83,12936.08,SL,-9.07,-1.00,0,1,0
5/5/23,5,LONG,9:30,13068.18,9:31,13059.03,13059.03,13091.05,SL,-9.15,-1.00,0,2,0
5/8/23,1,SHORT,9:45,13212.69,10:02,13221.94,13221.94,13189.57,SL,-9.25,-1.00,0,3,0
5/8/23,1,LONG,10:53,13225,11:46,13248.15,13215.75,13248.15,TP,23.14,2.50,1,0,1
5/9/23,2,LONG,9:46,13224.59,9:53,13215.33,13215.33,13247.73,SL,-9.26,-1.00,0,1,0
5/9/23,2,LONG,10:02,13243.5,10:07,13234.23,13234.23,13266.67,SL,-9.27,-1.00,0,2,0
5/10/23,3,LONG,10:09,13356.95,10:18,13347.6,13347.6,13380.32,SL,-9.35,-1.00,0,3,0
5/10/23,3,SHORT,10:48,13279.46,10:52,13256.22,13288.76,13256.22,TP,23.24,2.50,1,0,1
5/11/23,4,SHORT,10:42,13307.54,10:45,13316.86,13316.86,13284.25,SL,-9.32,-1.00,0,1,0
5/11/23,4,LONG,10:57,13343.68,11:04,13367.04,13334.34,13367.04,TP,23.35,2.50,1,0,1
5/12/23,5,SHORT,10:08,13354.62,10:11,13363.97,13363.97,13331.25,SL,-9.35,-1.00,0,1,0
5/12/23,5,SHORT,10:37,13333.33,10:39,13342.66,13342.66,13309.99,SL,-9.33,-1.00,0,2,0
5/15/23,1,SHORT,9:31,13353.14,9:45,13362.49,13362.49,13329.77,SL,-9.35,-1.00,0,3,0
5/15/23,1,SHORT,9:55,13331.8,10:07,13308.47,13341.13,13308.47,TP,23.33,2.50,1,0,1
5/15/23,1,LONG,10:39,13333.04,11:13,13356.38,13323.71,13356.38,TP,23.33,2.50,1,0,2
5/16/23,2,LONG,9:37,13411.21,9:43,13434.68,13401.83,13434.68,TP,23.47,2.50,1,0,3
5/16/23,2,LONG,10:31,13444.96,10:36,13435.55,13435.55,13468.49,SL,-9.41,-1.00,0,1,0
5/16/23,2,LONG,10:59,13464.19,11:36,13454.76,13454.76,13487.75,SL,-9.42,-1.00,0,2,0
5/17/23,3,LONG,9:33,13468.97,9:35,13459.54,13459.54,13492.54,SL,-9.43,-1.00,0,3,0
5/17/23,3,SHORT,9:55,13433.03,10:11,13442.43,13442.43,13409.52,SL,-9.4,-1.00,0,4,0
5/17/23,3,LONG,10:22,13454.11,10:58,13477.65,13444.69,13477.65,TP,23.54,2.50,1,0,1
5/18/23,4,LONG,9:43,13639.57,10:06,13663.43,13630.02,13663.43,TP,23.87,2.50,1,0,2
5/19/23,5,SHORT,9:56,13830.23,9:59,13839.91,13839.91,13806.02,SL,-9.68,-1.00,0,1,0
5/19/23,5,LONG,10:25,13852.35,10:29,13842.65,13842.65,13876.59,SL,-9.7,-1.00,0,2,0
5/19/23,5,SHORT,10:47,13825.19,11:04,13834.87,13834.87,13801,SL,-9.68,-1.00,0,3,0
5/22/23,1,LONG,9:44,13855.35,9:46,13845.65,13845.65,13879.6,SL,-9.7,-1.00,0,4,0
5/22/23,1,SHORT,10:47,13840.37,10:58,13850.06,13850.06,13816.15,SL,-9.69,-1.00,0,5,0
5/24/23,3,SHORT,10:10,13562.9,10:16,13572.39,13572.39,13539.17,SL,-9.49,-1.00,0,6,0
5/24/23,3,SHORT,10:29,13549.06,10:35,13558.54,13558.54,13525.35,SL,-9.48,-1.00,0,7,0
5/25/23,4,SHORT,9:40,13831.71,9:41,13841.39,13841.39,13807.51,SL,-9.68,-1.00,0,8,0
5/25/23,4,LONG,10:43,13868.25,10:47,13892.52,13858.54,13892.52,TP,24.27,2.50,1,0,1
5/26/23,5,LONG,9:46,14039.73,9:50,14064.3,14029.9,14064.3,TP,24.57,2.50,1,0,2
5/29/23,1,SHORT,9:36,14331.76,10:26,14341.8,14341.8,14306.68,SL,-10.03,-1.00,0,1,0
5/29/23,1,LONG,10:31,14342.33,12:59,14367.43,14332.29,14367.43,TP,25.1,2.50,1,0,1
5/31/23,3,LONG,9:42,14333.6,9:45,14358.69,14323.57,14358.69,TP,25.08,2.50,1,0,2
5/31/23,3,SHORT,10:16,14294.41,10:18,14269.39,14304.41,14269.39,TP,25.02,2.50,1,0,3
5/31/23,3,LONG,10:58,14282.91,10:59,14272.91,14272.91,14307.9,SL,-10,-1.00,0,1,0
6/2/23,5,LONG,9:30,14515.17,9:31,14540.57,14505.01,14540.57,TP,25.4,2.50,1,0,1
6/2/23,5,SHORT,10:03,14457.36,10:04,14467.48,14467.48,14432.06,SL,-10.12,-1.00,0,1,0
6/2/23,5,LONG,10:40,14502.98,10:43,14528.36,14492.82,14528.36,TP,25.38,2.50,1,0,1
6/5/23,1,LONG,9:37,14573.49,9:42,14599,14563.29,14599,TP,25.5,2.50,1,0,2
6/5/23,1,LONG,10:49,14610.84,10:56,14636.41,14600.61,14636.41,TP,25.57,2.50,1,0,3
6/6/23,2,SHORT,9:35,14497.53,9:41,14507.68,14507.68,14472.16,SL,-10.15,-1.00,0,1,0
6/6/23,2,LONG,10:23,14535.72,10:45,14561.16,14525.54,14561.16,TP,25.44,2.50,1,0,1
6/7/23,3,LONG,9:38,14630.06,9:39,14619.82,14619.82,14655.67,SL,-10.24,-1.00,0,1,0
6/7/23,3,SHORT,10:06,14587.09,10:10,14597.3,14597.3,14561.56,SL,-10.21,-1.00,0,2,0
6/8/23,4,LONG,9:44,14358.06,9:45,14348.01,14348.01,14383.19,SL,-10.05,-1.00,0,3,0
6/8/23,4,LONG,10:07,14368.14,10:15,14393.28,14358.08,14393.28,TP,25.14,2.50,1,0,1
6/9/23,5,LONG,9:36,14563.36,9:41,14588.85,14553.17,14588.85,TP,25.49,2.50,1,0,2
6/9/23,5,SHORT,10:47,14596.94,10:49,14571.4,14607.16,14571.4,TP,25.54,2.50,1,0,3
6/12/23,1,LONG,10:48,14623,10:54,14612.77,14612.77,14648.59,SL,-10.24,-1.00,0,1,0
6/13/23,2,SHORT,9:31,14896.85,9:33,14907.28,14907.28,14870.78,SL,-10.43,-1.00,0,2,0
6/13/23,2,LONG,10:57,14855.32,11:02,14844.92,14844.92,14881.32,SL,-10.4,-1.00,0,3,0
6/15/23,4,LONG,9:49,14989.07,9:50,15015.3,14978.58,15015.3,TP,26.23,2.50,1,0,1
6/15/23,4,LONG,10:50,15065.74,10:52,15055.19,15055.19,15092.1,SL,-10.55,-1.00,0,1,0
6/16/23,5,SHORT,9:42,15192.81,9:43,15166.22,15203.44,15166.22,TP,26.59,2.50,1,0,1
6/16/23,5,LONG,10:32,15212.06,10:40,15201.41,15201.41,15238.68,SL,-10.65,-1.00,0,1,0
6/19/23,1,SHORT,9:38,15057.53,14:17,15068.07,15068.07,15031.18,SL,-10.54,-1.00,0,2,0
6/20/23,2,LONG,9:41,15105.43,9:44,15094.85,15094.85,15131.86,SL,-10.57,-1.00,0,3,0
6/20/23,2,SHORT,10:26,14977.46,10:29,14951.25,14987.95,14951.25,TP,26.21,2.50,1,0,1
6/26/23,1,LONG,9:49,14926.13,9:50,14915.68,14915.68,14952.25,SL,-10.45,-1.00,0,1,0
6/26/23,1,SHORT,10:36,14921.44,10:39,14895.33,14931.89,14895.33,TP,26.11,2.50,1,0,1
6/28/23,3,LONG,9:40,14910.34,9:42,14936.43,14899.9,14936.43,TP,26.09,2.50,1,0,2
6/28/23,3,LONG,10:44,15022.93,10:59,15012.42,15012.42,15049.23,SL,-10.52,-1.00,0,1,0
6/29/23,4,SHORT,9:57,14938.07,10:01,14948.53,14948.53,14911.93,SL,-10.46,-1.00,0,2,0
6/29/23,4,SHORT,10:14,14892.69,10:15,14903.12,14903.12,14866.63,SL,-10.42,-1.00,0,3,0
6/30/23,5,LONG,9:47,15141.05,9:49,15167.55,15130.45,15167.55,TP,26.5,2.50,1,0,1
