date,trade#,dow,return,wr,maxDD,maxWW
9/3/24,1,2,2,1,0,1
9/4/24,1,3,-1,0,1,0
9/4/24,2,3,2,1,0,1
9/6/24,1,5,2,1,0,2
9/9/24,1,1,-1,0,1,0
9/9/24,2,1,2,1,0,1
9/10/24,1,2,-1,0,1,0
9/13/24,1,5,0,0,2,0
9/13/24,2,5,-1,0,3,0
9/16/24,1,1,-1,0,4,0
9/16/24,2,1,-1,0,5,0
9/19/24,1,4,2,1,0,1
9/20/24,1,5,2,1,0,2
9/24/24,1,2,2,1,0,3
9/25/24,1,3,-1,0,1,0
9/25/24,2,3,2,1,0,1
9/26/24,1,4,2,1,0,2
9/27/24,1,5,-1,0,1,0
9/30/24,1,1,-1,0,2,0
9/30/24,2,1,2,1,0,1
10/1/24,1,2,2,1,0,2
10/2/24,1,3,-1,0,1,0
10/2/24,2,3,2,1,0,1
10/4/24,1,5,2,1,0,2
10/4/24,2,5,2,1,0,3
10/7/24,1,1,-1,0,1,0
10/7/24,2,1,-1,0,2,0
10/8/24,1,2,-1,0,3,0
10/9/24,1,3,2,1,0,1
10/15/24,1,2,-1,0,1,0
10/15/24,2,2,2,1,0,1
10/16/24,1,3,2,1,0,2
10/18/24,1,5,-1,0,1,0
10/21/24,1,1,2,1,0,1
10/21/24,2,1,2,1,0,2
10/22/24,1,2,2,1,0,3
10/23/24,1,3,-1,0,1,0
10/23/24,2,3,-1,0,2,0
10/25/24,1,5,2,1,0,1
10/28/24,1,1,2,1,0,2
10/28/24,2,1,-1,0,1,0
10/29/24,1,2,-1,0,2,0
10/29/24,2,2,2,1,0,1
10/30/24,1,3,2,1,0,2
10/30/24,2,3,0,0,1,0
10/31/24,1,4,2,1,0,1
10/31/24,2,4,2,1,0,2
11/4/24,1,1,-1,0,1,0
11/4/24,2,1,2,1,0,1
11/6/24,1,3,-1,0,1,0
11/6/24,2,3,2,1,0,1
11/8/24,1,5,-1,0,1,0
11/12/24,1,2,-1,0,2,0
11/18/24,1,1,-1,0,3,0
11/18/24,2,1,2,1,0,1
11/19/24,1,2,-1,0,1,0
11/20/24,1,3,2,1,0,1
11/20/24,2,3,0,0,1,0
11/21/24,1,4,-1,0,2,0
11/21/24,2,4,-1,0,3,0
11/25/24,1,1,2,1,0,1
11/26/24,1,2,-1,0,1,0
11/26/24,2,2,-1,0,2,0
11/27/24,1,4,2,1,0,1
11/29/24,1,5,2,1,0,2
12/2/24,1,1,2,1,0,3
12/2/24,2,1,0,0,1,0
12/3/24,1,2,-1,0,2,0
12/3/24,2,2,-1,0,3,0
12/5/24,1,4,-1,0,4,0
12/5/24,2,4,-1,0,5,0
12/6/24,1,5,2,1,0,1
12/6/24,2,5,0,0,1,0
12/9/24,1,1,2,1,0,1
12/10/24,1,2,-1,0,1,0
12/10/24,2,2,-1,0,2,0
12/13/24,1,5,-1,0,3,0
12/13/24,2,5,2,1,0,1
12/19/24,1,5,2,1,0,2
12/19/24,2,5,-1,0,1,0
12/20/24,1,5,0,0,2,0
1/6/25,1,1,2,1,0,1
1/8/25,1,3,-1,0,1,0
1/10/25,1,5,-1,0,2,0
1/10/25,2,5,2,1,0,1
1/13/25,1,1,-1,0,1,0
1/13/25,2,1,-1,0,2,0
1/17/25,1,5,-1,0,3,0
1/17/25,2,5,-1,0,4,0
1/21/25,1,2,-1,0,5,0
